INST_CODE, INST_CODE,PLACE,DIST,COED,TYPE,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,TUITION_FEE 2016,AFFILIATED,YEAR,EWS_BOYS,EWS_GIRLS,
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGR,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,60284,69438,73617,73617,75046,86258,62731,69438,74137,74137,75569,87093,89135,89996,85872,85872,60000,JNTUH,2019,,,
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,88402,88402,97376,97376,99180,99180,88402,88402,94508,96526,88402,88402,94274,94274,88402,88402,60000,JNTUH,2019,,,
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGR,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,68301,68301,68301,97274,95342,97609,68301,68301,94635,94635,68301,68301,93977,93977,95624,95624,60000,JNTUH,2019,,,
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGR,COED,PVT,MEC,MECHANICAL ENGINEERING,48024,90597,48024,91035,73613,90597,48024,90597,48024,90597,87022,90597,59178,90597,77917,90597,60000,JNTUH,2019,,,
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,CIV,CIVIL ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,50400,JNTUH,2019,,,
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,50400,JNTUH,2019,,,
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,72627,72627,72627,72627,85372,85372,72627,72627,72627,72627,72627,72627,85336,85336,72627,72627,50400,JNTUH,2019,,,
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,CIV,CIVIL ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,70000,JNTUH,2019,,,
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,89042,89042,98188,98188,99281,99281,89042,89042,97432,97432,89042,89042,89042,89042,89042,89042,70000,JNTUH,2019,,,
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,99633,70000,JNTUH,2019,,,
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,94285,98741,94285,98741,94285,98741,94285,98741,94285,98741,94285,98741,99636,99636,94285,98741,70000,JNTUH,2019,,,
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,MEC,MECHANICAL ENGINEERING,80993,99010,80993,99010,80993,99010,80993,99010,80993,99010,80993,99010,80993,99010,80993,99010,70000,JNTUH,2019,,,
BOSE,ANU BOSE INSTT OF TECHNOLOGY,PALONCHA,KGM,COED,PVT,MIN,MINING ENGINEERING,55110,55110,55110,55110,55110,89392,55110,55110,55110,98105,55110,55110,81033,81033,85866,85866,70000,JNTUH,2019,,,
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,GIRLS,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,NA,11860,NA,36449,NA,18866,NA,44306,NA,17974,NA,24671,NA,65535,NA,58423,60000,JNTUH,2019,,,
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,GIRLS,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,NA,15535,NA,59976,NA,26470,NA,28923,NA,27756,NA,58410,NA,88215,NA,70247,60000,JNTUH,2019,,,
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,GIRLS,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,NA,18674,NA,93325,NA,32258,NA,31251,NA,37410,NA,67153,NA,90448,NA,42601,60000,JNTUH,2019,,,
BREW,BHOJREDDY ENGINEERING COLLEGE FOR WOMEN,SAIDABAD,HYD,GIRLS,PVT,INF,INFORMATION TECHNOLOGY,NA,15694,NA,60766,NA,26767,NA,49940,NA,26992,NA,39844,NA,97024,NA,92571,60000,JNTUH,2019,,,
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,COED,PVT,CIV,CIVIL ENGINEERING,65203,65203,84130,84130,90165,90165,65203,65203,76112,76112,65203,65203,91431,96004,89357,90411,70000,JNTUH,2019,,,
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,COED,PVT,CSE,COMPUTER SCIENCE  AND  ENGINEERING,65096,66369,98757,98757,98500,98500,65096,98481,96822,96822,99082,99082,90529,91420,95223,95223,70000,JNTUH,2019,,,
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,COED,PVT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,88589,96501,95883,96501,98141,98141,88589,96501,96376,96501,88589,96501,91351,96501,90809,96501,70000,JNTUH,2019,,,
BRIG,BRILLIANT GRAMMER SCHOOL EDNL SOC GRP OF INSTNS,HAYATHNAGAR,RR,COED,PVT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,70284,70284,70284,70284,70284,96534,70284,70284,94641,94641,70284,70284,96785,96785,89699,91112,70000,JNTUH,2019,,,
